factor_name,factor_expression,workspace_dir
Volume_Reversal_Raw,"-($return) * ($volume / (TS_MEAN($volume, 20) + 1e-8))",dbed02c3d32847d9b2e44f76205ec95d
Liquidity_Exhaustion_Indicator_3D,"TS_MEAN(ABS(DELTA($close, 1)), 3) / (TS_MEAN($volume, 3) + 1e-8)",d30db6fba1d04602af4c77f905ebf705
Volume_Return_Corr_20D,"TS_CORR($volume / (DELAY($volume, 1) + 1e-8) - 1, $close / (DELAY($close, 1) + 1e-8) - 1, 20)",db89991966464ca4845aa5e79e8ffcce
Volume_Return_Corr_10D,"TS_CORR(TS_PCTCHANGE($volume, 1), TS_PCTCHANGE($close, 1), 10)",87477c4149884308b2ed31e5e5bb656f
Daily_Sentiment_Reversal_60D,"-$return * $volume / (TS_MEDIAN($volume, 60) + 1e-8)",7f26b3c2ee354ece9d1c15d76fc979a3
Normalized_Volume_Acceleration_3D,"DELTA($volume, 1) / (TS_STD($close, 3) + 1e-8)",32f73663e877486eb351c754b5117515
Intraday_Range_Volume_Reversal_40D,"-($high - $low)/$close * $volume / (TS_MEDIAN($volume, 40) + 1e-8)",75276b2d927348a0b9862cf03c6ac74a
Reversal_NegRetRank_VolRank_10D,"RANK(TS_RANK($volume, 30) * TS_RANK(-1 * $return, 10))",65e8e16eaee446298f65ad22f83c323a
Return_Deviation_Stock_Volume_ZScore_20D,"($return - MEAN($return)) * TS_ZSCORE($volume, 20)",95f6dd796a22452fac719f8753720cdc
Volume_ZScore_Weighted_Return,"$return * TS_ZSCORE($volume, 20)",0e60fdb8eab14c30a16edca84d894a78
Neg_Norm_Intraday_Return_Vol_Ratio_10D,"-1 * TS_ZSCORE(($close - $open) / ($open + 1e-8), 10) * ($volume / (TS_MEAN($volume, 20) + 1e-8))",749a0bf5d42a473b8b9de720c4a4b092
Return_Deviation_Market_Volume_Accel_10D,"($return - MEAN($return)) * (MEAN($volume) / (TS_MEAN(MEAN($volume), 10) + 1e-8) - 1)",224909577f2a426dadaef20f6c35a459
Reversal_RankProduct_20D,"- (TS_RANK($return, 20) / 20) * (TS_RANK($volume, 20) / 20)",789779e7ee484a07a73a56de6fe78d43
Price_Volume_Convergence_Rank_7D,"RANK(TS_MEAN(DELTA($close, 1) / $close * DELTA($volume, 1), 7))",67905f21a99d4b27af59bbdfa4031dd9
EMA_ReturnVolAdj_VolumeZScore_10,"EMA((TS_PCTCHANGE($close, 1) / (TS_STD(TS_PCTCHANGE($close, 1), 20) + 1e-8)) * (($volume - TS_MEAN($volume, 50)) / (TS_STD($volume, 50) + 1e-8)), 10)",f6d0dfef71b74d33becf8dd945053ef4
Volume_Reversal_Rank,"RANK(-($return) * ($volume / (TS_MEAN($volume, 20) + 1e-8)))",357cc211fcd146d38913ce066066c41e
Volume_Sentiment_Conditional_Reversal_5D,"(TS_ZSCORE(TS_SUM(($close - $open) * $volume, 390), 1560) < 0) ? (-TS_MEAN($return, 390)) : 0",c5d591b0bdc5494196793e2ac7b2775e
Reversal_Volume_PctChange_10D,"-$return * TS_PCTCHANGE($volume, 10)",b6509b7ce7a74ca1b90dadfba903b558
Volume_Return_Correlation_Momentum_Reversal_12_6,"-1 * TS_CORR($volume, $return, 12) * TS_SUM($return, 6)",045fbeb02b6b4c98ada7f16a6a8f20d3
Return_Deviation_Stock_Volume_Accel_10D,"($return - MEAN($return)) * ($volume / (TS_MEAN($volume, 10) + 1e-8) - 1)",06a964c9a593483380b9860967c82f1e
EMA_ReturnVolAdj_VolumeShock_10,"EMA( (TS_PCTCHANGE($close, 1) / (TS_STD(TS_PCTCHANGE($close, 1), 20) + 1e-8)) * ( ($volume / (TS_MEAN($volume, 50) + 1e-8)) - 1 ), 10 )",847bb5a46f8e4ceba934673e8d0797c8
Volume_Ratio_Weighted_Return,"$return * ($volume / (TS_MEAN($volume, 20) + 1e-8))",7248cbbeb2354d80af8a28aa6761e72b
Overnight_Gap_Volume_ZScore_Reversal_20D,"ZSCORE(- (($open / (DELAY($close, 1) + 1e-8)) - 1) * ($volume / (TS_MEAN($volume, 20) + 1e-8)))",8d4265d7c9204e6db7853616f8cbd401
Volume_Return_Correlation_Reversal_10D,"(-TS_MEAN($return, 5)) * (1 - TS_CORR($return, $volume, 10))",a29da3668d31459eaa783412b50baed4
VolumeWeighted_IntradayImbalance_10D,"RANK(TS_SUM($volume * ($close - $open), 10) / (TS_SUM($volume, 10) + 1e-8))",122d88165ae04dedae75c6d8ca936a40
Volume_Return_Sign_Align_20D,"(COUNT($volume > DELAY($volume, 1) && $close > DELAY($close, 1), 20) + COUNT($volume < DELAY($volume, 1) && $close < DELAY($close, 1), 20)) / 20",a1b8c3fd35604da887d192dfe7c4c3d2
CumulativeAbnormalReturn_Sum_30D_VolTSZ,"TS_SUM($return - MEAN($return), 30) * TS_ZSCORE($volume, 30)",072bed3524ad419daa10abeb2ed981c3
Volume_ZScore_Reversal_20D,"-$return * TS_ZSCORE($volume, 20)",29c737adb0ce465697917d9a9734cb3c
Rel_Return_Vol_Zscore_20D,"TS_ZSCORE($volume,20)*(($return-MEAN($return))/(STD($return)+1e-8))",83f81005d32046ce89d8b782d7bd770f
Intraday_Volume_Intensity_ZScore,ZSCORE(($close - $open) / ($open + 1e-8) * $volume),11995fbef9d648b287cd5899279b354c
Reversal_Volume_ZScore_20D,"-$return * TS_ZSCORE($volume, 20)",3003e1e0e0244e45bb6a14b5a51ce10e
Reversal_NegMom_VolZ_5D,"RANK(-TS_SUM($return,5)*TS_ZSCORE($volume,20))",05e7324530a34de7bff25c2212d6709a
IntradayRange_RobustVolume_20D,"-(($high - $low) / ($close + 1e-8)) * (($volume - TS_MEDIAN($volume, 20)) / (TS_MAD($volume, 20) + 1e-8))",7b12ecd409734dabadafb5a3296b03c7
Market_Corr_10D_Vol_Zscore_20D,"TS_CORR($return,MEAN($return),10)*TS_ZSCORE($volume,20)",431fc443f8504f68990bb039082166aa
