factor_name,factor_expression
pool_factor_0001,"TS_ZSCORE(SUMIF($volume, 20, $return < 0) / (SUMIF($volume, 20, $return > 0) + 1e-8), 60)"
pool_factor_0002,"TS_ZSCORE(SUMIF($volume, 20, $return < 0) / (TS_SUM($volume, 20) + 1e-8), 60)"
pool_factor_0003,"TS_ZSCORE((SUMIF($volume, 20, $return < 0) - SUMIF($volume, 20, $return > 0)) / (TS_SUM($volume, 20) + 1e-8), 60)"
pool_factor_0004,"TS_ZSCORE(SUMIF($volume, 20, $close < DELAY($close,1)) / (SUMIF($volume, 20, $close > DELAY($close,1)) + 1e-8), 60)"
pool_factor_0005,"TS_ZSCORE(SUMIF($volume, 20, $close < DELAY($close, 1)) / (TS_SUM($volume, 20) + 1e-8), 60)"
pool_factor_0006,"TS_ZSCORE((SUMIF($volume, 20, DELTA($close, 1) < 0) - SUMIF($volume, 20, DELTA($close, 1) > 0)) / (TS_SUM($volume, 20) + 1e-8), 60)"
pool_factor_0007,"(TS_SUM($return * $volume, 20) / (TS_SUM($volume, 20) + 1e-8)) / (TS_MEAN($return, 20) + 1e-8)"
pool_factor_0008,"(SUMIF($volume, 20, $return > 0) - SUMIF($volume, 20, $return < 0)) / (TS_SUM($volume, 20) + 1e-8)"
pool_factor_0009,"(TS_SUM($return * $volume, 20) / (TS_SUM($volume, 20) + 1e-8) - TS_MEAN($return, 20)) / (TS_STD($return, 20) + 1e-8)"
pool_factor_0010,"(($close - (($high + $low + $close) / 3)) / MAX($high - $low, 1e-8)) * ($volume / (TS_MEAN($volume, 20) + 1e-8))"
pool_factor_0011,"(($close - EMA($close, 20)) / MAX($high - $low, 1e-8)) * ($volume / (TS_MEAN($volume, 20) + 1e-8))"
pool_factor_0012,"RANK((($close - $low) / ($high - $low + 1e-8)) * ($volume / TS_MEAN($volume, 20)))"
pool_factor_0013,"RANK((($close - $low) / ($high - $low + 1e-8)) - TS_MEAN(($close - $low) / ($high - $low + 1e-8), 5))"
pool_factor_0014,"ZSCORE((($close - $low) / ($high - $low + 1e-8)) * ($volume / TS_MEAN($volume, 20)))"
pool_factor_0015,"RANK((($close - $open) / ($high - $low + 1e-8)) * ($volume / TS_MEDIAN($volume, 20)))"
pool_factor_0016,"RANK(($close - $open) / ($high - $low + 1e-8)) * RANK($volume / TS_MEDIAN($volume, 20))"
pool_factor_0017,"RANK((($close - $open) / ($high - $low + 1e-8)) * TS_ZSCORE($volume, 20))"
pool_factor_0018,"EMA(SIGN($close - $open) * (ABS($close - $open) / (ABS($high - $low) + 1e-8)) * (($volume - TS_MEAN($volume, 20)) / (TS_STD($volume, 20) + 1e-8)), 5)"
pool_factor_0019,"EMA(SIGN($close - $open) * (ABS($close - $open) / (ABS($high - $low) + 1e-8)) * ($volume / (TS_MEDIAN($volume, 20) + 1e-8) - 1), 5)"
pool_factor_0020,"EMA(SIGN($close - $open) * (RANK(ABS($close - $open) / (ABS($high - $low) + 1e-8)) + RANK(($volume - TS_MEAN($volume, 20)) / (TS_STD($volume, 20) + 1e-8))), 5)"
pool_factor_0021,"($open - DELAY($close, 1)) / (DELAY($high, 1) - DELAY($low, 1) + 1e-6)"
pool_factor_0022,"($open - (DELAY($high,1)+DELAY($low,1)+DELAY($close,1))/3) / (DELAY($high,1) - DELAY($low,1) + 1e-6)"
pool_factor_0023,(2*$close - $high - $low) / (($high - $low) + 1e-8) / (SQRT($volume) + 1e-8)
pool_factor_0024,ZSCORE((2*$close - $high - $low) / (($high - $low) + 1e-8) / (SQRT($volume) + 1e-8))
pool_factor_0025,"TS_MEAN((2*$close - $high - $low) / (($high - $low) + 1e-8) / (SQRT($volume) + 1e-8), 5)"
pool_factor_0026,"TS_CORR(TS_RANK($return, 10), TS_RANK(TS_PCTCHANGE($volume, 1), 10), 10)"
pool_factor_0027,"TS_CORR($return, TS_PCTCHANGE($volume, 1), 10)"
pool_factor_0028,"(TS_SUM(TS_PCTCHANGE($close, 1) * $volume, 20) / (TS_SUM($volume, 20) + 1e-8)) / (TS_MEAN(TS_PCTCHANGE($close, 1), 20) + 1e-8)"
pool_factor_0029,"($close - (TS_SUM($close * $volume, 10) / TS_SUM($volume, 10))) / (TS_STD($close, 10) + 1e-8)"
pool_factor_0030,"($close - ($high + $low + $close) / 3) / (TS_STD($close, 10) + 1e-8)"
pool_factor_0031,"(SUMIF($volume, 20, DELTA($close, 1) > 0) - SUMIF($volume, 20, DELTA($close, 1) < 0)) / (TS_SUM($volume, 20) + 1e-8)"
pool_factor_0032,"EMA(($close - $open) / ($high - $low + 1e-8), 10)"
pool_factor_0033,"EMA(($close - ($high + $low)/2) / ($high - $low + 1e-8), 10)"
pool_factor_0034,"(($close - (($high + $low)/2)) / (($high - $low) + 1e-8)) * ($volume / (TS_MEAN($volume, 20) + 1e-8))"
pool_factor_0035,"(($close - (($high + $low + $close)/3)) / (($high - $low) + 1e-8)) * ($volume / (TS_MEAN($volume, 20) + 1e-8))"
pool_factor_0036,"RANK((($close - (($high + $low)/2)) / (($high - $low) + 1e-8)) * ($volume / (TS_MEAN($volume, 20) + 1e-8)))"
pool_factor_0037,"TS_COVARIANCE($volume, $return, 20) / (TS_VAR($return, 20) + 1e-8)"
pool_factor_0038,"RANK(TS_COVARIANCE($volume, $return, 20) / (TS_VAR($return, 20) + 1e-8))"
pool_factor_0039,"TS_COVARIANCE($volume, $return, 10) / (TS_VAR($return, 10) + 1e-8)"
pool_factor_0040,"-(DELTA(DELTA(3*$close/($high+$low+$close)-1, 1), 1)) / (TS_STD(3*$close/($high+$low+$close)-1, 20) + 1e-8)"
pool_factor_0041,"($close / TS_MEAN($close, 20) - 1) * ($volume / TS_MEAN($volume, 20))"
pool_factor_0042,"-(DELTA(DELTA($close/$open-1, 1), 1)) / (TS_STD($close/$open-1, 20) + 1e-8)"
pool_factor_0043,"($close / (($high + $low + $close) / 3) - 1) * ($volume / TS_MEAN($volume, 20))"
pool_factor_0044,"(($close - $open) / $open) * ($volume / TS_MEAN($volume, 20))"
pool_factor_0045,"-(DELTA(DELTA($close/TS_MEAN($close,5)-1, 1), 1)) / (TS_STD($close/TS_MEAN($close,5)-1, 20) + 1e-8)"
pool_factor_0046,"ABS($close - DELAY($close, 20)) / (TS_SUM(ABS($high - $low), 20) + 1e-8)"
pool_factor_0047,"ABS($close - DELAY($close, 20)) / (TS_STD($return, 20) * SQRT(20) + 1e-8)"
pool_factor_0048,"RSI($close, 14)"
pool_factor_0049,"-( (($close - $low)/($high - $low + 1e-8) - TS_MEAN(($close - $low)/($high - $low + 1e-8), 20)) * (TS_RANK($volume, 20) / 20) )"
pool_factor_0050,"TS_SUM($return, 20) / (TS_SUM(ABS($return) / ($close * $volume), 20) + 1e-8)"
